2021-11-02 13:46:52,657	plot process error
2021-11-02 13:46:52,659	plot process error
2021-11-02 13:46:52,661	plot process error
2021-11-02 13:46:52,663	plot process error
2021-11-02 13:46:52,666	plot process error
2021-11-02 13:46:52,668	plot process error
2021-11-02 13:46:52,669	plot process error
2021-11-02 13:46:52,672	plot process error
2021-11-02 13:46:52,673	plot process error
2021-11-02 13:46:52,675	plot process error
2021-11-02 13:46:52,677	plot process error
2021-11-02 13:46:52,679	plot process error
2021-11-02 13:46:52,681	plot process error
2021-11-02 13:46:52,683	plot process error
2021-11-02 13:46:52,685	plot process error
2021-11-02 13:46:52,687	plot process error
2021-11-02 13:46:52,689	plot process error
2021-11-02 13:46:52,691	plot process error
2021-11-02 13:46:52,693	plot process error
2021-11-02 13:46:52,694	plot process error
2021-11-02 13:46:52,696	plot process error
2021-11-02 13:46:52,698	plot process error
2021-11-02 13:46:52,700	plot process error
2021-11-02 13:46:52,702	plot process error
2021-11-02 13:46:52,704	plot process error
2021-11-02 13:46:52,706	plot process error
2021-11-02 13:46:52,708	plot process error
2021-11-02 13:46:52,710	plot process error
2021-11-02 13:46:52,711	plot process error
2021-11-02 13:46:52,713	plot process error
2021-11-02 13:46:52,715	plot process error
2021-11-02 13:46:52,717	plot process error
2021-11-02 13:46:52,719	plot process error
2021-11-02 13:46:52,721	plot process error
2021-11-02 13:46:52,723	plot process error
2021-11-02 13:46:52,724	plot process error
2021-11-02 13:46:52,726	plot process error
2021-11-02 13:46:52,728	plot process error
2021-11-02 13:46:52,731	plot process error
2021-11-02 13:46:52,733	plot process error
2021-11-02 13:46:52,735	plot process error
2021-11-02 13:46:52,737	plot process error
2021-11-02 13:46:52,739	plot process error
2021-11-02 13:46:52,741	plot process error
2021-11-02 13:46:52,743	plot process error
2021-11-02 13:46:52,745	plot process error
2021-11-02 13:46:52,747	plot process error
2021-11-02 13:46:52,749	plot process error
2021-11-02 13:46:52,751	plot process error
2021-11-02 13:46:52,752	plot process error
2021-11-02 13:46:52,754	plot process error
2021-11-02 13:46:52,756	plot process error
2021-11-02 13:46:52,758	plot process error
2021-11-02 13:46:52,760	plot process error
2021-11-02 13:46:52,762	plot process error
2021-11-02 13:46:52,765	plot process error
2021-11-02 13:46:52,767	plot process error
2021-11-02 13:46:52,769	plot process error
2021-11-02 13:46:52,772	plot process error
2021-11-02 13:46:52,774	plot process error
2021-11-02 13:46:52,776	plot process error
2021-11-02 13:46:52,777	plot process error
2021-11-02 13:46:52,779	plot process error
2021-11-02 13:46:52,781	plot process error
2021-11-02 13:46:52,783	plot process error
2021-11-02 13:46:52,785	plot process error
2021-11-02 13:46:52,787	plot process error
2021-11-02 13:46:52,788	plot process error
2021-11-02 13:46:52,791	plot process error
2021-11-02 13:46:52,792	plot process error
2021-11-02 13:46:52,794	plot process error
2021-11-02 13:46:52,795	plot process error
2021-11-02 13:46:52,797	plot process error
2021-11-02 13:46:52,799	plot process error
2021-11-02 13:46:52,801	plot process error
2021-11-02 13:46:52,803	plot process error
2021-11-02 13:46:52,806	plot process error
2021-11-02 13:46:52,808	plot process error
2021-11-02 13:46:52,810	plot process error
2021-11-02 13:46:52,812	plot process error
2021-11-02 13:46:52,814	plot process error
2021-11-02 13:46:52,816	plot process error
2021-11-02 13:46:52,818	plot process error
2021-11-02 13:46:52,820	plot process error
2021-11-02 13:46:52,822	plot process error
2021-11-02 13:46:52,824	plot process error
2021-11-02 13:46:52,826	plot process error
2021-11-02 13:46:52,827	plot process error
2021-11-02 13:46:52,828	plot process error
2021-11-02 13:46:52,830	plot process error
2021-11-02 13:46:52,832	plot process error
2021-11-02 13:46:52,834	plot process error
2021-11-02 13:46:52,836	plot process error
2021-11-02 13:46:52,838	plot process error
2021-11-02 13:46:52,840	plot process error
2021-11-02 13:46:52,842	plot process error
2021-11-02 13:46:52,844	plot process error
2021-11-02 13:46:52,846	plot process error
2021-11-02 13:46:52,848	plot process error
2021-11-02 13:46:52,849	plot process error
2021-11-02 13:46:52,851	plot process error
2021-11-02 13:46:52,853	plot process error
2021-11-02 13:46:52,854	plot process error
2021-11-02 13:46:52,855	plot process error
2021-11-02 13:46:52,857	plot process error
2021-11-02 13:46:52,859	plot process error
2021-11-02 13:46:52,861	plot process error
2021-11-02 13:46:52,862	plot process error
2021-11-02 13:46:52,864	plot process error
2021-11-02 13:46:52,866	plot process error
2021-11-02 13:46:52,867	plot process error
2021-11-02 13:46:52,868	plot process error
2021-11-02 13:46:52,870	plot process error
2021-11-02 13:46:52,871	plot process error
2021-11-02 13:46:52,873	plot process error
2021-11-02 13:46:52,874	plot process error
2021-11-02 13:46:52,876	plot process error
2021-11-02 13:46:52,878	plot process error
2021-11-02 13:46:52,879	plot process error
2021-11-02 13:46:52,881	plot process error
2021-11-02 13:46:52,884	plot process error
2021-11-02 13:46:52,886	plot process error
2021-11-02 13:46:52,888	plot process error
2021-11-02 13:46:52,891	plot process error
2021-11-02 13:46:52,893	plot process error
2021-11-02 13:46:52,895	plot process error
